Instr Code     Open     High      Low    Close   %Chg  Trade       Volume    Value(Mn)

GBBPOWER      20.30    21.50    20.30    21.10   2.43   1890      5435562      114.234
GEMINISEA    723.10   728.00   712.60   717.20  -0.53    356         7584        5.464
GENNEXT        8.00     8.20     7.90     8.00   0.00    820      3479429       27.917
GHAIL         54.90    54.90    50.70    51.40  -5.69   1879      3112154      162.975
GHCL          41.90    42.00    40.40    40.60  -1.22    413       341234       14.012
GLAXOSMITH  1557.00  1557.00  1540.00  1550.10  -0.23     58          541        0.839
GLOBALINS     14.50    15.80    14.50    15.60   8.33    296       679822       10.453
GOLDENSON     18.00    18.30    18.00    18.00   0.00    388       563395       10.183
GP           285.20   286.30   285.00   286.00   0.14    607       383922      109.767
GPHISPAT      34.60    35.90    34.60    35.40   3.51   2596      6077174      214.471
GQBALLPEN     70.50    71.30    69.70    69.80  -1.13    180        34968        2.463
GREENDELT     47.40    48.60    47.40    47.70   0.21     29         3925        0.187
GSPFINANCE    22.30    22.70    21.40    21.60  -2.70   1231      3241615       70.792
HEIDELBCEM   541.20   545.00   536.00   540.50  -0.15    183        33110       17.973
HFL           23.90    24.00    23.30    23.80   0.42    167       189422        4.482
HRTEX         33.70    34.80    33.70    34.50   2.99    627       789923       27.148
HWAWELLTEX    35.10    36.00    35.10    36.00   1.12     26        28558        1.026
IBNSINA      201.00   201.50   196.00   198.90  -0.35    599        75362       14.964
ICB           99.00   100.00    98.70    99.60   0.61    105        41044        4.080
IDLC          53.60    57.30    52.20    57.20   9.79   1917      3716709      202.947
IFADAUTOS     97.00   101.00    96.50    97.20   0.83   2654      2692813      265.254
IFIC          20.70    21.10    20.70    20.80   0.97    658      2309388       48.157
INTECH        14.40    14.50    14.20    14.30   0.70    328       452183        6.491
IPDC          42.90    43.60    42.40    43.10   0.70    577      1036662       44.511
ISLAMIBANK    29.50    29.60    29.30    29.30  -0.34    312       488940       14.382
ISLAMICFIN    18.50    18.80    18.00    18.10  -2.16   1410      4981223       90.895
ISLAMIINS     18.00    18.10    17.70    17.90  -1.10     43       131939        2.362
ITC           49.70    49.90    48.70    49.00   0.41    965       672265       33.108
JAMUNABANK    15.50    15.70    15.10    15.40   0.65    196       654952       10.090
JAMUNAOIL    184.10   188.90   180.10   181.70  -2.57    884       278992       51.081
JMISMDL      171.50   171.50   162.80   163.40  -3.94    826       150775       25.013
KARNAPHULI    15.10    15.20    14.90    15.00   0.00     78        71332        1.073
KBPPWBIL      19.10    20.80    19.10    20.40   7.37   1687      3570625       70.933
KDSALTD       89.70    90.80    86.60    87.50  -0.79   1108       771524       68.706
KEYACOSMET    11.30    11.30    11.00    11.10  -0.89   1922      8523274       95.052
KOHINOOR     376.00   380.90   372.30   373.90  -1.45    101         4611        1.733
KPCL          63.10    64.00    62.50    62.70  -0.32    870       788979       49.651
LAFSURCEML    85.00    85.00    81.80    82.00  -2.73   4268      3130191      259.831
LANKABAFIN    32.40    32.40    31.70    32.00  -0.62   1292      3189002      102.161
LIBRAINFU    447.30   458.00   445.00   447.20  -0.91    221         7535        3.379
LINDEBD     1291.00  1329.10  1290.10  1298.10  -0.19    317        13590       17.665
MALEKSPIN     16.40    16.70    16.40    16.40   0.61    121       279429        4.600
MARICO      1175.00  1175.00  1150.00  1155.60  -1.59     89         1245        1.447
MATINSPINN    38.30    38.50    38.10    38.20  -0.26    217       210747        8.073
MEGHNACEM    111.30   114.50   107.00   112.90  -0.53    295       116024       13.035
MEGHNALIFE    53.70    54.40    53.30    53.60  -1.29    139        71362        3.840
MERCANBANK    14.90    15.20    14.60    14.80   0.00    347      2516654       37.532
MERCINS       16.10    16.60    15.90    16.60   3.11    179       262817        4.318
MHSML         15.90    16.10    15.80    15.90  -0.62    505      1065457       16.985
MICEMENT      77.90    78.80    77.90    78.50   0.64    489       337620       26.441
MITHUNKNIT    57.20    58.20    56.20    56.40  -1.40    944       638498       36.374
MJLBD        121.80   122.70   120.10   120.50  -0.82   1062       750151       90.947
MONNOSTAF    555.00   555.00   545.00   546.70  -0.40     28          670        0.366
MPETROLEUM   184.30   185.50   181.60   183.20  -0.92    500       179087       32.874
MTB           24.50    24.50    23.30    23.40  -2.50    197      1733059       41.426
NATLIFEINS   182.50   184.10   180.20   181.20   0.50    377        75399       13.718
NAVANACNG     66.90    68.00    65.00    67.20   1.66   1560      1787506      119.432
NBL            9.80     9.80     9.70     9.70   0.00    757      5883841       57.252
NCCBANK       11.10    11.20    11.00    11.20   1.82    316      2736029       30.457
NFML          18.30    19.40    18.30    19.20   6.08   2056      4606320       87.118
NHFIL         64.40    64.40    60.00    60.30  -5.78    524       431235       26.402
NITOLINS      21.80    22.80    21.80    22.60   2.73     17        11194        0.253
NORTHRNINS    19.60    20.00    19.50    19.80   2.06    118       120225        2.374
NPOLYMAR      73.80    76.80    73.00    76.30   3.53    792       402553       30.472
NTC          679.90   686.50   652.00   654.60  -3.65   2040       106624       71.126
NTLTUBES     134.00   135.10   128.20   128.80  -2.50   2290       571155       74.534
OAL           22.90    23.40    22.70    23.30   3.10   2533      5243560      121.287
OLYMPIC      306.30   308.00   306.30   306.80   0.03    378       130983       40.198
ONEBANKLTD    16.50    17.20    16.50    17.00   3.66   1048      5591956       95.338
ORIONINFU     60.70    60.90    59.40    59.80   0.00    624       265229       15.885
ORIONPHARM    42.70    44.70    42.70    44.10   3.76   2679      4404388      193.175
PARAMOUNT     20.20    20.30    19.80    20.00   0.00    173       419541        8.383
PENINSULA     25.60    26.00    24.80    25.00  -1.57    974      1833455       46.474
PEOPLESINS    17.70    18.00    17.70    17.80   0.00     28        22449        0.400
PHARMAID     247.90   248.00   242.10   242.70  -0.94    273        27258        6.661
PHENIXINS     23.10    24.30    23.10    24.10   4.33     69        92180        2.185
PHOENIXFIN    27.30    27.60    26.50    26.70  -1.48    334       889422       24.032
PIONEERINS    29.90    30.30    29.60    29.70  -1.00    192       179699        5.390
POPULARLIF    69.30    72.00    69.30    70.80   0.00     89        69490        4.949
POWERGRID     54.90    54.90    53.90    54.20  -0.18    570       400026       21.650
PRAGATIINS    27.50    27.70    27.20    27.30  -1.80     42        22100        0.605
PREMIERBAN     9.00     9.20     9.00     9.10   1.11    312      1504677       13.650
PREMIERCEM    85.00    88.30    85.00    87.90   3.29    283       185330       16.132
PRIMEBANK     17.80    18.40    17.50    18.10   1.69    391      2498005       45.369
PRIMEINSUR    18.60    18.90    18.50    18.60   0.54     14        39921        0.743
PRIMELIFE     59.80    59.90    57.50    59.20  -0.34     96        36188        2.157
PRIMETEX      22.20    24.00    22.20    23.70   7.24    848      1556412       36.498
PROVATIINS    16.90    17.60    16.40    17.50   6.71    394       564253        9.646
PTL           19.10    19.70    18.90    19.60   2.62    640      1433676       27.810
PUBALIBANK    25.10    25.70    25.00    25.30   1.20    321       746539       18.966
PURABIGEN     15.90    16.40    15.90    16.10   1.90    712      1415776       22.825
QSMDRYCELL    97.20    98.40    94.60    95.40  -0.83   1658       836254       80.949
RAHIMTEXT    258.50   259.00   250.00   252.80  -1.37    128         9092        2.308
RAKCERAMIC    64.60    65.20    62.80    63.10  -1.87   1098       994188       63.338
RANFOUNDRY   107.40   109.80   107.00   108.00   0.37    174        72711        7.837
RDFOOD        17.80    18.20    17.60    17.90   1.13   1130      1881172       33.694
RECKITTBEN  1550.00  1550.00  1550.00  1550.00   0.41      1           26        0.040
RELIANCINS    47.00    47.40    47.00    47.10   1.51     13         6844        0.322
RENATA      1092.50  1092.50  1081.00  1086.00   0.48    228        10256       11.136
RENWICKJA    635.60   648.00   625.10   632.70  -0.46    145         2509        1.596
REPUBLIC      22.50    23.60    22.50    23.50   4.44    215       434837       10.072
RSRMSTEEL     71.70    72.90    68.60    69.60  -1.97   2125      2703914      190.265
RUPALIBANK    25.70    26.00    25.70    25.80  -0.39     43        19387        0.501
RUPALIINS     18.10    18.60    18.10    18.30   1.10    204       348482        6.368
RUPALILIFE    37.50    37.90    36.50    36.50  -2.67    271       340722       12.602
SAIFPOWER     51.60    56.00    51.60    54.00   5.26   4297      5960951      325.145
SAIHAMCOT     14.50    14.60    14.30    14.40   0.70    166       381993        5.520
SAIHAMTEX     14.50    14.90    14.30    14.70   2.80    190       557129        8.157
SALAMCRST     40.00    42.00    38.00    39.70  -0.50   2098      2373145       96.667
SAMORITA      68.50    69.00    67.70    68.00   0.15    170        66883        4.552
SANDHANINS    32.40    32.70    32.30    32.60   0.93    301       248449        8.076
SAPORTL       52.60    53.90    51.60    52.40  -0.19   3139      3643827      192.638
SHAHJABANK    14.20    14.50    14.20    14.40   0.70    108       513739        7.389
SHASHADNIM    70.10    72.40    70.10    70.60  -0.70   1448      1475580      104.853
SIBL          16.80    17.30    16.80    17.10   0.00    174       657945       11.297
SIMTEX        21.80    22.10    21.40    21.50  -0.46    304       381972        8.355
SINGERBD     186.40   186.40   184.00   185.10  -0.11    384       226302       41.854
SONALIANSH   183.50   185.00   183.20   183.80   0.22    188        24685        4.546
SONARBAINS    16.60    17.30    16.60    17.20   3.61     31        30790        0.528
SOUTHEASTB    17.60    17.80    17.40    17.70   1.14    198       829054       14.612
SPCL         143.70   145.00   139.00   139.40  -2.92    703       234048       33.107
SQUARETEXT    69.10    72.30    68.60    70.80   2.46    305       184011       13.044
SQURPHARMA   244.80   247.00   244.50   245.40   0.33   1865      1344548      329.593
STANCERAM     52.30    53.30    51.90    52.70   0.76    155        50748        2.675
STANDARINS    19.50    19.50    18.70    18.90   1.61     10         1109        0.021
STANDBANKL    11.30    11.60    11.30    11.50   1.77    519      3062364       35.201
STYLECRAFT  1435.00  1459.90  1430.00  1433.70   0.46     57          530        0.761
SUMITPOWER    37.40    37.50    36.70    36.80  -0.54    730      1552778       57.556
TAKAFULINS    18.00    18.50    17.70    18.20   2.25    101        77579        1.414
TITASGAS      47.00    47.50    46.90    47.10  -0.21    467       708020       33.464
TOSRIFA       19.00    19.40    18.80    18.90   0.53    211       254545        4.840
TRUSTBANK     23.70    23.70    23.30    23.40   0.00    213       710275       16.674
TUNGHAI       11.10    11.10    10.90    10.90  -0.91    338       868683        9.531
UCB           20.30    20.50    20.10    20.20   0.00    530      1702459       34.529
UNIONCAP      17.40    17.90    16.90    17.70   1.72   1246      4636039       81.228
UNIQUEHRL     49.50    50.00    48.00    48.30  -1.43   1444      1908470       93.375
UNITEDFIN     23.30    23.30    22.50    22.80  -1.72    332       931365       21.267
UNITEDINS     27.50    27.50    25.60    25.90   1.17     20        10274        0.266
UPGDCL       141.00   141.80   140.00   140.20  -0.50    767       267502       37.587
USMANIAGL     86.70    86.80    85.20    85.40  -1.27    202        31646        2.711
UTTARABANK    24.30    24.60    24.00    24.50   2.08    278       985149       24.104
UTTARAFIN     61.00    62.00    60.80    61.20   0.66    347       324112       19.903
WATACHEM     164.00   164.00   162.00   162.50  -0.18    220        34020        5.531
ZAHEENSPIN    16.60    17.20    16.60    16.80   0.60    430       881431       14.887
ZAHINTEX      17.20    17.50    17.00    17.30   0.58    157       319116        5.508
                                                      ------    ---------    ---------
                                                      168961    303023417    10085.701

A Group (Equity) scrips traded in Public Market   =  228



B Group (Equity)
----------------
Instr Code     Open     High      Low    Close   %Chg  Trade       Volume    Value(Mn)

ANWARGALV     71.80    72.60    71.10    71.50  -0.14    327       134929        9.692
DELTASPINN     9.00     9.30     9.00     9.00   0.00    442      2045334       18.703
FEDERALINS    13.20    13.20    12.90    13.00  -1.52    347       810593       10.568
HAKKANIPUL    48.80    51.40    47.90    50.10   4.59    641       270010       13.506
ILFSL         11.80    11.80    11.40    11.40  -1.72    467      1278800       14.786
JANATAINS     13.00    13.20    12.80    13.10   0.77     72        92873        1.221
MIRACLEIND    62.10    65.00    62.00    63.10   3.10    521       392454       24.840
MONNOCERA     41.60    41.60    39.50    39.70  -2.22    111        64680        2.585
NORTHERN     227.90   227.90   219.00   219.80  -1.87    158        13221        2.905
PREMIERLEA    14.00    14.10    13.60    13.70  -2.14    640      3089498       42.521
SAFKOSPINN    13.00    13.90    13.00    13.80   5.34    405       636672        8.706
SALVOCHEM     16.00    16.00    15.40    15.80  -1.86   1053      2369496       37.150
                                                      ------    ---------    ---------
                                                        5184     11198560      187.183

B Group (Equity) scrips traded in Public Market   =   12



N Group (Equity)
----------------
Instr Code     Open     High      Low    Close   %Chg  Trade       Volume    Value(Mn)

BNICL         18.10    18.50    18.10    18.30   2.23    519       786272       14.376
DOREENPWR    109.00   113.60   109.00   109.90   2.14   2702      1218287      135.818
ETL           18.60    19.00    18.60    18.80   2.73    784      1972809       37.059
FORTUNE       53.00    54.40    52.50    52.80  -0.19   2144      1409790       75.013
REGENTTEX     15.20    15.60    15.20    15.40   1.32    740      1129005       17.408
YPL           29.90    31.00    29.80    30.40   2.01    999      1123627       34.180
                                                      ------    ---------    ---------
                                                        7888      7639790      313.853

N Group (Equity) scrips traded in Public Market   =    6



Z Group (Equity)
----------------
Instr Code     Open     High      Low    Close   %Chg  Trade       Volume    Value(Mn)

