Instr Code     Open     High      Low    Close   %Chg  Trade       Volume    Value(Mn)

MALEKSPIN     16.30    16.50    16.20    16.30  -0.61     91       188350        3.080
MARICO      1141.50  1149.00  1130.00  1135.40  -0.39    122         2193        2.496
MATINSPINN    39.50    40.00    38.40    38.50   0.52    335       299093       11.627
MEGHNACEM    108.40   108.40   106.00   107.90  -0.28     47         6481        0.697
MEGHNALIFE    53.50    54.00    53.20    53.40  -0.37     89        51352        2.749
MERCANBANK    14.70    14.80    14.60    14.60  -0.68    226      1798697       26.287
MERCINS       16.40    16.40    15.80    16.10  -0.62     70        94233        1.521
MHSML         16.10    16.10    15.80    15.80  -1.25    393       638916       10.144
MICEMENT      80.00    81.30    80.00    80.90   0.37    792       689573       55.745
MITHUNKNIT    59.00    59.00    56.60    57.00  -2.23    723       409432       23.526
MJLBD        120.00   120.70   119.80   119.80  -0.08    687       394905       47.394
MONNOSTAF    551.00   551.00   531.10   532.70  -1.28     96         3529        1.891
MTB           23.50    23.70    23.20    23.30  -0.85    128       996765       23.291
NATLIFEINS   184.00   187.50   181.90   182.40   0.61    216        26743        4.893
NAVANACNG     64.00    65.90    62.90    63.40  -0.78    902       696406       44.487
NBL            9.70     9.80     9.70     9.70   0.00    510      4071415       39.699
NCCBANK       11.40    11.40    11.20    11.30  -0.88    201       898628       10.184
NFML          18.90    19.10    18.50    18.60  -2.11    919      2073005       38.896
NHFIL         61.80    61.80    56.50    57.70  -3.19    424       229113       13.390
NITOLINS      22.40    22.40    21.60    22.10  -1.34      6        10631        0.235
NORTHRNINS    20.10    20.10    19.20    19.50   0.00     23         7315        0.143
NPOLYMAR      74.60    75.50    74.10    74.60  -0.40    247        77153        5.758
NTC          640.00   667.80   640.00   650.20   1.64   1279        60443       39.632
NTLTUBES     126.30   128.40   125.00   125.40   0.08   1452       256743       32.416
OAL           24.00    24.20    23.40    23.50  -1.26   1838      3839047       90.945
OLYMPIC      310.00   318.00   307.30   309.40   0.19    855       244684       76.481
ONEBANKLTD    17.50    17.90    17.20    17.50   0.00    471      1927618       33.804
ORIONINFU     59.00    59.30    58.00    58.10  -1.69    531       225242       13.185
ORIONPHARM    42.70    42.90    40.80    41.20  -3.06   1321      1739222       72.581
PADMAOIL     176.70   179.40   175.70   177.10   0.11    297        67076       11.909
PARAMOUNT     20.70    20.70    19.40    20.20   1.00    164       113072        2.270
PENINSULA     24.90    25.00    23.80    24.00  -3.23    898      2052753       49.704
PEOPLESINS    17.50    17.60    17.50    17.50  -1.13      8         2957        0.052
PHARMAID     244.00   250.00   242.20   245.10   1.36    221        31699        7.816
PHENIXINS     23.70    24.80    23.70    24.60   1.65    100       135347        3.305
PHOENIXFIN    26.40    26.60    26.20    26.30  -0.75    178       290613        7.670
PIONEERINS    29.70    30.00    29.60    29.80  -0.33     49        31214        0.931
POPULARLIF    70.40    71.00    70.00    70.00  -0.85     54        20505        1.443
POWERGRID     54.50    54.50    53.20    53.50  -0.74    322       174072        9.350
PRAGATIINS    27.10    27.20    26.50    26.80  -0.74     37        12758        0.343
PREMIERBAN     9.20     9.30     9.00     9.10  -1.09    243      1168373       10.724
PREMIERCEM    88.50    88.60    86.10    88.20   1.26    141        54763        4.825
PRIMEBANK     18.00    18.10    17.50    17.80  -1.11    147       412228        7.352
PRIMEINSUR    18.20    18.90    18.10    18.20  -2.67     19         8432        0.154
PRIMELIFE     59.00    62.00    59.00    61.60   3.88    158        93747        5.681
PRIMETEX      23.40    23.50    22.60    22.80  -0.87    373       517600       11.869
PROVATIINS    17.20    17.80    17.20    17.60   2.33    148       255736        4.478
PTL           19.30    19.30    19.00    19.10   0.00    289       410974        7.848
PUBALIBANK    24.40    25.00    24.10    24.90   0.00    160       161125        3.952
PURABIGEN     16.50    16.70    16.20    16.50   2.48    445      1001097       16.526
QSMDRYCELL    94.00    94.80    90.80    91.40  -2.56   1404       846507       78.284
RAHIMTEXT    259.00   259.60   252.20   253.30  -0.35     92         5789        1.472
RAKCERAMIC    63.00    63.00    61.30    61.60  -0.96    742       559019       34.588
