Instr Code     Open     High      Low    Close   %Chg  Trade       Volume    Value(Mn)

USMANIAGL     86.10    86.50    85.30    85.60   0.23    109        23564        2.021
UTTARABANK    24.50    25.00    24.20    24.40  -0.41    420      1355026       33.526
UTTARAFIN     61.80    61.80    60.00    60.20  -1.63    239       139418        8.460
WATACHEM     165.00   165.00   160.70   161.80  -0.43    235        33344        5.425
ZAHEENSPIN    17.10    17.30    16.70    16.80   0.00    459      1069285       18.186
ZAHINTEX      17.60    17.70    17.10    17.10  -1.16    131       223254        3.846
                                                      ------    ---------    ---------
                                                      154672    281483371     8719.135

A Group (Equity) scrips traded in Public Market   =  226



B Group (Equity)
----------------
Instr Code     Open     High      Low    Close   %Chg  Trade       Volume    Value(Mn)

ANWARGALV     71.70    72.00    70.20    70.60  -1.26    298        98953        7.028
DELTASPINN     9.10     9.30     9.00     9.10   1.11    416      1734668       15.885
FEDERALINS    13.10    13.30    12.50    12.80  -1.54    280       545813        7.091
HAKKANIPUL    50.70    50.70    48.60    48.90  -2.40    378       159995        7.969
ILFSL         11.50    11.50    11.00    11.20  -1.75    314       662345        7.463
JANATAINS     13.00    13.20    12.90    13.10   0.00     33        37865        0.495
MIRACLEIND    63.00    63.60    59.00    60.10  -4.75    748       498262       30.649
MONNOCERA     40.00    40.30    39.60    39.90   0.50     68        24042        0.959
NORTHERN     220.00   224.50   218.00   218.60  -0.55     71         4579        1.002
PREMIERLEA    13.90    14.00    13.40    13.50  -1.46    513      2845660       39.065
SAFKOSPINN    13.90    14.80    13.70    13.90   0.72    584      1110487       15.841
SALVOCHEM     16.00    16.20    15.50    15.60  -1.27    584      1414873       22.376
                                                      ------    ---------    ---------
                                                        4287      9137542      155.823

B Group (Equity) scrips traded in Public Market   =   12



N Group (Equity)
----------------
Instr Code     Open     High      Low    Close   %Chg  Trade       Volume    Value(Mn)

BNICL         18.50    18.60    17.70    17.80  -2.73    388       477840        8.706
DOREENPWR    111.00   111.00   104.80   105.90  -3.64   1813       685175       73.483
ETL           19.00    19.20    18.30    18.60  -1.06    634      1384774       26.055
FORTUNE       53.60    54.70    52.60    52.80   0.00   2105      1550173       82.986
REGENTTEX     15.50    15.80    15.20    15.30  -0.65    869      1520757       23.494
YPL           30.60    30.80    29.70    29.80  -1.97   1021       963225       29.005
                                                      ------    ---------    ---------
                                                        6830      6581944      243.728

N Group (Equity) scrips traded in Public Market   =    6



Z Group (Equity)
----------------
Instr Code     Open     High      Low    Close   %Chg  Trade       Volume    Value(Mn)

ALLTEX        10.10    10.20    10.00    10.00  -0.99     86       104925        1.054
AZIZPIPES     68.50    68.50    66.50    66.60  -3.20      7         1250        0.083
BANGAS       117.20   120.00   117.20   118.30   0.00    137        10456        1.239
BDAUTOCA      79.80    79.80    72.00    74.60  -1.06    163        13576        1.021
BDWELDING     10.60    10.60    10.40    10.40  -0.95     59        73117        0.766
BEACHHATCH    10.50    10.50    10.30    10.40   0.00     72        68500        0.711
BEACONPHAR    21.20    21.70    21.20    21.40   1.90    250       241637        5.184
BIFC           9.30     9.70     8.80     9.10  -3.19     71        88736        0.830
BXSYNTH        7.10     7.40     7.10     7.40   2.78     99       258187        1.859
DACCADYE       7.40     7.60     7.40     7.50   0.00     94       128943        0.960
DESHBANDHU    11.70    11.90    11.30    11.40   0.00    174       285587        3.291
DULAMIACOT     7.80     7.80     7.40     7.50  -1.32     19         9481        0.071
FINEFOODS     22.90    23.40    22.30    22.80   3.17    119        46714        1.062
FIRSTFIN       9.50     9.50     8.80     8.90  -3.26     77       177548        1.630
ICBIBANK       4.10     4.10     4.00     4.00   0.00     38        83985        0.337
IMAMBUTTON    12.70    13.40    12.70    13.00   1.56    105        62274        0.811
ISNLTD        13.40    14.00    12.80    13.20   0.00     20         5546        0.073
JUTESPINN     54.00    54.00    53.00    53.10   1.34     22          921        0.049
KAY&QUE       31.90    32.40    30.90    32.10   0.63     68        31102        0.983
KPPL           8.50     9.10     8.40     9.10   9.64    523      1028792        9.193
LEGACYFOOT    20.90    20.90    20.20    20.40   1.49     53        40337        0.828
MAKSONSPIN     7.80     7.80     7.60     7.70   0.00    124       380725        2.926
MEGCONMILK     9.00     9.00     8.30     8.60  -2.27     66        73807        0.635
MEGHNAPET      6.80     7.20     6.80     7.10   7.58     93       104505        0.737
METROSPIN      7.10     7.20     7.00     7.10   0.00     36        57855        0.409
MIDASFIN      22.90    23.90    22.70    22.90   2.23    252       231893        5.426
MODERNDYE    184.00   184.00   168.00   168.40  -1.29     54         2057        0.347
PADMALIFE     27.00    27.00    26.40    26.50  -1.85     55        26850        0.716
PLFSL          8.10     8.30     8.10     8.20   0.00    135       314889        2.580
PRAGATILIF   104.10   104.10    95.30    96.50  -7.57     69        21227        2.095
PRIMEFIN       9.00     9.20     8.70     8.80  -2.22     97       146535        1.315
