Instr Code     Open     High      Low    Close   %Chg  Trade       Volume    Value(Mn)

KDSALTD       66.10    66.50    65.30    65.50  -0.46    568       212618       13.988
KEYACOSMET     9.80    10.00     9.80    10.00   2.04    526      1502264       14.883
KOHINOOR     440.00   440.00   428.00   432.20  -0.87    160         5693        2.465
KPCL          62.50    63.30    61.90    62.10   0.16    803       922240       57.432
LINDEBD     1345.00  1352.90  1321.10  1336.50  -0.44    275         6151        8.220
MALEKSPIN     15.50    15.50    15.30    15.30  -0.65    127       268909        4.124
MARICO      1216.10  1228.80  1212.10  1217.90  -1.50     30          669        0.815
MATINSPINN    36.70    37.70    36.70    37.20   1.92    254       252840        9.394
MEGHNACEM     93.40    94.50    91.10    92.50  -1.60    190        49309        4.591
MEGHNALIFE    53.10    53.70    53.00    53.00   0.00     83        36168        1.922
MERCANBANK    14.00    14.40    13.90    14.20   1.43    402      2473220       35.052
MERCINS       14.10    14.20    14.00    14.00  -0.71    176       284769        4.012
MHSML         15.00    15.50    14.80    15.00   1.35    719      1261046       19.069
MITHUNKNIT    63.20    67.40    61.00    66.80   7.05   1671       930720       60.355
MJLBD        119.20   119.60   118.60   118.80  -0.67    976       600682       71.471
MONNOSTAF    586.00   595.00   584.00   586.60   0.60    109         2473        1.456
MPETROLEUM   182.10   184.00   181.50   181.80  -0.16    256        76576       13.954
MTB           21.80    22.30    21.80    21.90   0.46    235      1267602       27.931
NATLIFEINS   173.70   174.00   173.00   173.70   0.12     75         9320        1.619
NAVANACNG     57.80    58.40    55.80    56.20  -2.09    913       624837       35.431
NBL            9.70     9.80     9.60     9.70   0.00    671      4796943       46.598
NCCBANK       10.50    10.80    10.40    10.70   1.90    238      1088638       11.646
NFML          16.90    17.20    16.70    16.80   0.00    433       798253       13.498
NHFIL         55.00    57.00    54.00    54.50   0.18    936      1050448       58.563
NITOLINS      21.90    21.90    21.40    21.50  -0.92     28        28818        0.622
NORTHERN     208.80   219.00   208.80   219.00   9.99    112        12950        2.819
NORTHRNINS    19.30    19.70    18.70    18.70  -2.09    169       334316        6.364
NTC          599.90   619.00   590.00   601.00   0.30    468        13159        7.924
NTLTUBES     132.30   135.00   126.00   126.50  -2.39   3140       982893      128.932
OAL           20.70    21.50    20.70    21.20   1.92   1621      3300204       69.846
ONEBANKLTD    14.90    15.10    14.80    15.00   1.35    379      1945674       29.183
ORIONINFU     60.50    61.00    59.10    59.40  -1.00    925       329013       19.654
ORIONPHARM    40.90    41.40    39.60    40.20  -1.71   1989      2517340      101.906
PADMAOIL     186.20   187.00   186.00   186.30  -0.05    229        29144        5.439
PARAMOUNT     18.80    20.20    18.80    19.60   1.55    187       364344        7.115
PENINSULA     24.60    24.90    23.90    24.10  -1.23   1125      2981761       72.278
PEOPLESINS    16.60    16.80    16.50    16.60   0.00     27        20424        0.339
PHARMAID     245.00   252.90   245.00   245.70  -0.12    444        46373       11.452
PHENIXINS     21.80    22.40    21.80    22.20   2.30     62        37735        0.834
PHOENIXFIN    24.50    25.20    24.40    24.50   0.82    563      1244179       30.890
PIONEERINS    30.20    30.20    29.40    29.60   0.34     24        13421        0.398
POPULARLIF    69.40    69.40    67.40    67.50  -2.32     87        31764        2.179
POWERGRID     55.30    57.40    54.10    55.40   0.36   1655      1964537      108.709
PRAGATIINS    25.50    26.10    25.50    25.70   0.78     94        34277        0.888
PREMIERBAN     9.00     9.40     9.00     9.20   1.10    682      3036858       28.026
PREMIERCEM    85.60    85.60    83.50    83.60  -1.07    141        61872        5.186
PRIMEBANK     15.10    15.50    15.00    15.50   2.65    107       124608        1.921
PRIMEINSUR    16.30    17.20    16.30    17.00   1.80     18        11544        0.196
PRIMELIFE     58.00    58.30    57.50    57.80  -0.86     18         3420        0.198
PROVATIINS    14.50    14.70    14.30    14.50  -1.36     59        66870        0.975
PUBALIBANK    19.50    20.40    19.50    19.90   0.00    198       141891        2.830
PURABIGEN     16.90    16.90    16.00    16.20  -1.82    486      1039118       17.020
QSMDRYCELL    99.90   101.70    95.50   100.00   1.42   3095      1750655      171.763
RAHIMTEXT    236.60   237.00   233.10   234.60   1.51     70         4394        1.033
RAKCERAMIC    59.70    62.20    59.60    61.80   4.75   2939      2662675      163.316
RDFOOD        16.00    16.10    15.30    15.50  -3.73   1072      1224521       19.171
RELIANCINS    46.50    46.50    46.10    46.20  -0.43     21         7040        0.325
RENATA      1100.00  1100.00  1090.30  1091.40  -0.08    120         2189        2.392
REPUBLIC      16.80    16.80    16.20    16.40  -2.38    271       488423        8.119
